thermo          100
thermo_style    custom step temp c_ctemp pe ke etotal press
dump            traj all custom ${DUMPEVERY} trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_b_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_b_ramp_900K.lammpstrj id type xu yu zu
dump_modify     traj sort id

# CONTINUOUS HEAT-UP: NO velocity re-initialization. The carried-over state is
# brought to TSTAGE by the thermostat (the start structure is ~300 K from
# Phase 4/5 equilibration; each later stage continues from the previous final).
fix             nvt mobile nvt temp ${TSTAGE} ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 900 ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 900 900 ${TDAMP}
fix             nvt mobile nvt temp 900 900 25
timestep        ${DT}
timestep        0.25
run             ${NSTEPS}
run             40000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: Fix recenter should come after all other integration fixes (src/fix_recenter.cpp:130)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 2 2 7
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 91.36 | 91.36 | 91.36 Mbytes
   Step          Temp         c_ctemp         PotEng         KinEng         TotEng         Press     
         0   453.50004      550.67861     -7475.4317      91.922228     -7383.5094      32423.445    
       100   573.88248      696.8573      -7470.2141      116.32316     -7353.891       39692.993    
       200   610.63887      741.49006     -7445.7604      123.7735      -7321.9869      41294.223    
       300   711.66417      864.16363     -7428.4225      144.25083     -7284.1716      32424.499    
       400   741.61599      900.5337      -7404.9856      150.32191     -7254.6637      41965.294    
       500   842.97327      1023.6104     -7411.851       170.86654     -7240.9845      37298.575    
       600   766.95371      931.30093     -7414.8665      155.45775     -7259.4088      29496.811    
       700   681.90404      828.02633     -7417.8797      138.2186      -7279.6612      25706.248    
       800   718.92989      872.98629     -7423.9031      145.72355     -7278.1796      22039.037    
       900   875.66018      1063.3016     -7411.2128      177.49201     -7233.7208      34813.353    
      1000   669.68958      813.19449     -7370.9046      135.74279     -7235.1618      34863.754    
      1100   775.05614      941.13959     -7405.7179      157.10007     -7248.6178      31439.005    
      1200   748.38792      908.75677     -7430.3843      151.69455     -7278.6897      29893.112    
      1300   665.36469      807.94284     -7444.4375      134.86615     -7309.5713      26936.846    
      1400   694.18426      842.93803     -7442.5228      140.70774     -7301.815       18036.478    
      1500   664.88506      807.36043     -7418.857       134.76893     -7284.0881      34068.79     
      1600   718.44981      872.40334     -7409.335       145.62624     -7263.7087      29737.515    
      1700   774.57155      940.55117     -7399.9118      157.00184     -7242.9099      47725.54     
      1800   871.26868      1057.9691     -7408.0957      176.60188     -7231.4939      40519.356    
      1900   677.36611      822.51599     -7405.576       137.29878     -7268.2772      29979.365    
      2000   610.73411      741.6057      -7415.9134      123.7928      -7292.1206      17279.806    
      2100   698.40127      848.05868     -7426.2294      141.5625      -7284.6669      29011.105    
      2200   773.91571      939.75479     -7411.9092      156.86891     -7255.0403      28926.968    
      2300   757.49215      919.81189     -7384.0103      153.53993     -7230.4703      27611.642    
      2400   697.03248      846.39658     -7372.5022      141.28506     -7231.2172      25199.408    
      2500   818.42708      993.80431     -7402.6621      165.89115     -7236.771       21323.477    
      2600   731.22212      887.91258     -7426.0563      148.21513     -7277.8411      38683.623    
      2700   653.58892      793.64369     -7415.7238      132.47926     -7283.2446      34085.913    
      2800   764.00705      927.72285     -7421.7854      154.86047     -7266.9249      28999.973    
      2900   784.5843       952.70951     -7417.328       159.03138     -7258.2966      38167.568    
      3000   751.56603      912.61589     -7408.8896      152.33874     -7256.5509      32855.253    
      3100   787.66016      956.44448     -7409.0054      159.65484     -7249.3506      35961.294    
      3200   734.46657      891.85226     -7406.6235      148.87276     -7257.7508      22125.466    
      3300   721.44057      876.03498     -7420.4249      146.23246     -7274.1924      29507.764    
