thermo          100
thermo_style    custom step temp c_ctemp pe ke etotal press
dump            traj all custom ${DUMPEVERY} trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_a_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_a_ramp_300K.lammpstrj id type xu yu zu
dump_modify     traj sort id

# CONTINUOUS HEAT-UP: NO velocity re-initialization. The carried-over state is
# brought to TSTAGE by the thermostat (the start structure is ~300 K from
# Phase 4/5 equilibration; each later stage continues from the previous final).
fix             nvt mobile nvt temp ${TSTAGE} ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 300 ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 300 300 ${TDAMP}
fix             nvt mobile nvt temp 300 300 25
timestep        ${DT}
timestep        0.25
run             ${NSTEPS}
run             40000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: Fix recenter should come after all other integration fixes (src/fix_recenter.cpp:130)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 2 2 7
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 94.16 | 94.16 | 94.16 Mbytes
   Step          Temp         c_ctemp         PotEng         KinEng         TotEng         Press     
         0   390.33306      472.50844     -7526.2823      80.282101     -7446.0002      30827.383    
       100   420.59647      509.14309     -7573.6974      86.506555     -7487.1909      19940.329    
       200   498.53365      603.4881      -7645.1734      102.53635     -7542.637       28005.015    
       300   380.32069      460.3882      -7685.486       78.222797     -7607.2632      48923.46     
       400   421.24122      509.92358     -7746.2186      86.639164     -7659.5795      52315.416    
       500   286.71038      347.07047     -7754.6357      58.969414     -7695.6663      75745.86     
       600   228.19079      276.23096     -7769.2632      46.933345     -7722.3299      94895.509    
       700   243.07262      294.2458      -7781.3603      49.994178     -7731.3661      94300.95     
       800   211.00487      255.42695     -7775.185       43.398615     -7731.7864      73981.5      
       900   234.19733      283.50203     -7774.5754      48.168746     -7726.4067      65190.716    
      1000   224.25479      271.46632     -7763.729       46.123803     -7717.6052      43335.817    
      1100   272.34297      329.67833     -7766.4795      56.014384     -7710.4651      46674.216    
      1200   313.92852      380.01873     -7781.2099      64.567529     -7716.6424      57140.247    
      1300   202.38314      244.99012     -7772.384       41.625334     -7730.7586      66780.483    
      1400   226.8775       274.64118     -7776.8629      46.663232     -7730.1997      74493.203    
      1500   246.39105      298.26285     -7771.9242      50.676699     -7721.2475      76820.358    
      1600   268.92772      325.54408     -7768.1403      55.311949     -7712.8284      72751.72     
      1700   262.65554      317.95144     -7768.7953      54.021913     -7714.7733      63700.278    
      1800   262.73054      318.04223     -7782.3647      54.037339     -7728.3274      65076.705    
      1900   210.49379      254.80827     -7777.3885      43.293499     -7734.095       59930.658    
      2000   271.87358      329.11012     -7783.9167      55.917841     -7727.9989      74639.748    
      2100   231.80448      280.60542     -7768.0327      47.676593     -7720.3562      79132.923    
      2200   266.50212      322.60784     -7769.4465      54.813063     -7714.6334      93037.609    
      2300   303.62899      367.55088     -7776.6122      62.449163     -7714.163       81241.555    
      2400   225.0114       272.38222     -7767.8343      46.279421     -7721.5549      71106.201    
      2500   207.60315      251.30908     -7768.364       42.698964     -7725.665       53856.622    
      2600   233.73631      282.94395     -7768.8429      48.073923     -7720.769       58365.848    
      2700   253.81657      307.25164     -7760.469       52.203951     -7708.2651      37551.814    
      2800   225.34531      272.78643     -7755.1231      46.348099     -7708.775       41043.145    
      2900   249.53274      302.06595     -7763.6702      51.32287      -7712.3473      52281.013    
      3000   236.18657      285.91006     -7770.943       48.577884     -7722.3651      54342.631    
      3100   250.50623      303.24439     -7776.7905      51.523093     -7725.2674      54936.252    
      3200   253.03236      306.30234     -7767.0356      52.042658     -7714.9929      49389.942    
      3300   292.64338      354.25251     -7765.8794      60.189689     -7705.6897      36846.511    
      3400   264.01038      319.59151     -7775.8142      54.30057      -7721.5137      34757.219    
