thermo          100
thermo_style    custom step temp c_ctemp pe ke etotal press
dump            traj all custom ${DUMPEVERY} trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/${MODEL}_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_b_ramp_${STAGE}.lammpstrj id type xu yu zu
dump            traj all custom 100 trajectories/model_b_ramp_300K.lammpstrj id type xu yu zu
dump_modify     traj sort id

# CONTINUOUS HEAT-UP: NO velocity re-initialization. The carried-over state is
# brought to TSTAGE by the thermostat (the start structure is ~300 K from
# Phase 4/5 equilibration; each later stage continues from the previous final).
fix             nvt mobile nvt temp ${TSTAGE} ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 300 ${TSTAGE} ${TDAMP}
fix             nvt mobile nvt temp 300 300 ${TDAMP}
fix             nvt mobile nvt temp 300 300 25
timestep        ${DT}
timestep        0.25
run             ${NSTEPS}
run             40000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: Fix recenter should come after all other integration fixes (src/fix_recenter.cpp:130)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 2 2 7
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 92.69 | 92.69 | 92.69 Mbytes
   Step          Temp         c_ctemp         PotEng         KinEng         TotEng         Press     
         0   290.16446      352.34256     -7371.6963      58.814909     -7312.8814      19413.21     
       100   364.33533      442.40719     -7420.1485      73.84898      -7346.2996      22931.731    
       200   318.01629      386.16263     -7441.6247      64.460338     -7377.1643      25655.265    
       300   300.03028      364.32249     -7457.7438      60.814664     -7396.9291      16481.814    
       400   230.85412      280.32286     -7459.4366      46.792995     -7412.6436      23433.456    
       500   166.03528      201.61427     -7450.4701      33.654535     -7416.8156      12915.721    
       600   255.20811      309.89556     -7457.3825      51.72943      -7405.6531      32561.377    
       700   244.61316      297.03027     -7445.0641      49.581886     -7395.4822      27080.967    
       800   270.2466       328.15659     -7446.6423      54.777658     -7391.8647      16612.307    
       900   259.71316      315.36599     -7455.7399      52.642581     -7403.0973      26098.603    
      1000   210.18208      255.2211      -7451.0451      42.602875     -7408.4422      23246.358    
      1100   230.61405      280.03134     -7453.1361      46.744333     -7406.3917      20854.444    
      1200   259.21888      314.76578     -7450.6235      52.542392     -7398.0811      38822.011    
      1300   256.47715      311.43655     -7438.9473      51.986658     -7386.9606      16528.316    
      1400   274.28742      333.0633      -7443.3991      55.596711     -7387.8024      23088.705    
      1500   243.19536      295.30865     -7454.7827      49.294504     -7405.4882      18542.662    
      1600   243.95702      296.23352     -7459.3184      49.448888     -7409.8695      20016.363    
      1700   227.74599      276.5487      -7453.3206      46.162992     -7407.1576      19208.734    
      1800   240.03793      291.47462     -7446.0335      48.654507     -7397.379       28339.398    
      1900   283.52396      344.27909     -7450.7791      57.468913     -7393.3102      19304.017    
      2000   239.69449      291.05759     -7446.665       48.584894     -7398.0801      33734.158    
      2100   260.228        315.99114     -7454.4821      52.746935     -7401.7351      22248.636    
      2200   258.11915      313.4304      -7458.2442      52.319483     -7405.9247      19658.111    
      2300   202.79818      246.25493     -7451.1735      41.106194     -7410.0673      28373.39     
      2400   291.50088      353.96536     -7463.5613      59.085796     -7404.4755      20952.188    
      2500   287.97819      349.68781     -7449.7338      58.371764     -7391.3621      22637.444    
      2600   219.00962      265.94026     -7437.4972      44.392174     -7393.105       21300.325    
      2700   277.94575      337.50555     -7457.0833      56.338236     -7400.7451      24270.524    
      2800   231.55074      281.16875     -7451.1162      46.934196     -7404.182       18207.587    
      2900   239.61965      290.96672     -7449.715       48.569726     -7401.1453      18599.618    
      3000   261.81455      317.91767     -7447.023       53.068522     -7393.9545      12898.761    
      3100   318.65085      386.93317     -7451.2545      64.58896      -7386.6655      19990.105    
      3200   246.79706      299.68214     -7456.8759      50.02455      -7406.8514      29679.372    
      3300   228.65969      277.6582      -7456.6278      46.348196     -7410.2796      22193.476    
      3400   200.50427      243.46947     -7444.1899      40.64123      -7403.5486      24317.261    
      3500   241.73531      293.53573     -7443.2431      48.998558     -7394.2446      33585.544    
      3600   270.28542      328.20372     -7448.4673      54.785526     -7393.6818      26497.357    
      3700   254.0144       308.44606     -7458.4767      51.48747      -7406.9893      20477.582    
      3800   226.19724      274.66808     -7458.9354      45.849069     -7413.0863      22843.741    
      3900   227.90464      276.74135     -7459.0184      46.19515      -7412.8232      28798.02     
      4000   218.88207      265.78537     -7453.7282      44.36632      -7409.3619      26494.7      
      4100   212.13319      257.59031     -7438.1551      42.998355     -7395.1567      31129.314    
      4200   315.79328      383.46327     -7455.6871      64.009746     -7391.6774      15700.693    
      4300   280.56419      340.68509     -7461.6546      56.868982     -7404.7856      23350.712    
      4400   245.55546      298.17449     -7461.9367      49.772885     -7412.1638      25347.407    
      4500   229.47037      278.64259     -7457.5821      46.512516     -7411.0696      22634.734    
      4600   215.19273      261.30545     -7445.0725      43.618507     -7401.454       9514.2129    
      4700   308.22164      374.26913     -7454.63        62.47501      -7392.155       21015.865    
      4800   261.2577       317.24149     -7447.0364      52.955651     -7394.0808      32693.483    
      4900   272.59399      331.00699     -7457.3654      55.253462     -7402.112       23568.457    
      5000   243.50922      295.68976     -7457.5248      49.358121     -7408.1667      25022.707    
      5100   230.02922      279.3212      -7456.9285      46.625793     -7410.3027      17532.338    
      5200   255.17677      309.85751     -7458.6665      51.723077     -7406.9434      23659.374    
      5300   222.55956      270.25089     -7445.8476      45.111728     -7400.7359      18168.283    
      5400   298.93993      362.99849     -7443.5432      60.593654     -7382.9495      21257.792    
      5500   277.86643      337.40924     -7443.3903      56.322159     -7387.0682      22769.507    
      5600   232.24423      282.01085     -7449.2834      47.074763     -7402.2086      25272.023    
      5700   246.4485       299.25889     -7459.5606      49.9539       -7409.6067      25640.841    
      5800   269.45135      327.19093     -7467.1809      54.616464     -7412.5645      28329.637    
      5900   213.11256      258.77953     -7457.6114      43.196867     -7414.4145      19776.431    
      6000   284.01711      344.87791     -7462.0739      57.568871     -7404.505       27234.394    
      6100   279.27223      339.11628     -7450.3704      56.607108     -7393.7633      18876.013    
      6200   207.38463      251.82419     -7437.8203      42.035845     -7395.7845      17192.236    
      6300   271.85714      330.11224     -7453.7172      55.104105     -7398.6131      29773.942    
